start,startPosition,end,endPosition,frequency
11,"[60.28677368, 160.8241577, 110.6608505]",12,"[55.97764587, 158.2496948, 112.2365341]",1
11,"[60.28677368, 160.8241577, 110.6608505]",14,"[48.48796844, 151.4735107, 121.1464615]",2
11,"[60.28677368, 160.8241577, 110.6608505]",16,"[64.83947754, 153.8170471, 109.4194031]",4
11,"[60.28677368, 160.8241577, 110.6608505]",17,"[58.68668747, 152.7620544, 110.3483887]",1
11,"[60.28677368, 160.8241577, 110.6608505]",18,"[53.5224762, 150.5645752, 113.4942017]",1
11,"[60.28677368, 160.8241577, 110.6608505]",19,"[49.99071884, 146.2094421, 119.2557526]",1
11,"[60.28677368, 160.8241577, 110.6608505]",22,"[75.83336639, 104.5458603, 79.74345398]",1
11,"[60.28677368, 160.8241577, 110.6608505]",33,"[37.75629807, 120.4342728, 97.97554016]",1
11,"[60.28677368, 160.8241577, 110.6608505]",45,"[120.5362473, 44.73541641, 83.17926025]",1
11,"[60.28677368, 160.8241577, 110.6608505]",55,"[66.18732452, 184.2788849, 136.6307373]",3
11,"[60.28677368, 160.8241577, 110.6608505]",56,"[61.64362335, 180.326355, 143.5522919]",1
11,"[60.28677368, 160.8241577, 110.6608505]",57,"[59.63084793, 175.063736, 149.9863586]",3
11,"[60.28677368, 160.8241577, 110.6608505]",58,"[59.44711685, 171.0057678, 156.4195709]",3
11,"[60.28677368, 160.8241577, 110.6608505]",59,"[61.01449585, 164.7238617, 161.7114258]",5
11,"[60.28677368, 160.8241577, 110.6608505]",60,"[58.11058807, 179.6183167, 132.4685059]",4
11,"[60.28677368, 160.8241577, 110.6608505]",61,"[55.12334442, 175.8678894, 138.8725739]",1
11,"[60.28677368, 160.8241577, 110.6608505]",62,"[52.44224548, 170.8167877, 146.372757]",3
11,"[60.28677368, 160.8241577, 110.6608505]",63,"[51.2840004, 165.7919006, 152.2144318]",4
11,"[60.28677368, 160.8241577, 110.6608505]",64,"[53.52826309, 158.8329773, 158.2172852]",4
11,"[60.28677368, 160.8241577, 110.6608505]",68,"[34.91020966, 78.02272034, 149.7407227]",1
11,"[60.28677368, 160.8241577, 110.6608505]",69,"[37.74136353, 88.42960358, 152.3104248]",3
11,"[60.28677368, 160.8241577, 110.6608505]",70,"[38.61865616, 99.38539124, 155.8343048]",8
11,"[60.28677368, 160.8241577, 110.6608505]",71,"[42.56768036, 109.0180054, 158.2352905]",6
11,"[60.28677368, 160.8241577, 110.6608505]",72,"[44.20722198, 119.0409088, 160.3303223]",2
11,"[60.28677368, 160.8241577, 110.6608505]",76,"[38.3068924, 73.96008301, 156.2806091]",2
11,"[60.28677368, 160.8241577, 110.6608505]",77,"[40.96482849, 84.51644135, 159.3578491]",2
11,"[60.28677368, 160.8241577, 110.6608505]",78,"[43.03504944, 94.88861084, 162.0728912]",6
11,"[60.28677368, 160.8241577, 110.6608505]",79,"[46.01379776, 104.5724182, 166.0837097]",4
11,"[60.28677368, 160.8241577, 110.6608505]",80,"[47.95235062, 114.578186, 168.8221741]",3
11,"[60.28677368, 160.8241577, 110.6608505]",81,"[58.59506226, 43.15229034, 152.1497955]",5
11,"[60.28677368, 160.8241577, 110.6608505]",82,"[51.80251312, 50.55010223, 156.5683746]",1
11,"[60.28677368, 160.8241577, 110.6608505]",84,"[45.83430099, 71.89839172, 163.7348938]",1
11,"[60.28677368, 160.8241577, 110.6608505]",85,"[46.25086975, 81.35145569, 166.1690979]",4
11,"[60.28677368, 160.8241577, 110.6608505]",86,"[47.44469452, 90.94404602, 168.2020874]",1
11,"[60.28677368, 160.8241577, 110.6608505]",87,"[49.53035736, 99.92474365, 171.1462555]",1
11,"[60.28677368, 160.8241577, 110.6608505]",88,"[54.26541901, 110.3771667, 173.8651886]",2
11,"[60.28677368, 160.8241577, 110.6608505]",89,"[63.97809601, 42.09529877, 158.5378723]",5
11,"[60.28677368, 160.8241577, 110.6608505]",92,"[51.61279297, 68.16239166, 169.7157898]",2
11,"[60.28677368, 160.8241577, 110.6608505]",93,"[53.16075134, 77.81087494, 171.5006256]",1
11,"[60.28677368, 160.8241577, 110.6608505]",94,"[54.0082016, 87.26881409, 174.2900696]",1
11,"[60.28677368, 160.8241577, 110.6608505]",95,"[56.42819214, 97.26829529, 177.4585419]",1
11,"[60.28677368, 160.8241577, 110.6608505]",96,"[61.06736755, 107.1714401, 179.7997131]",2
11,"[60.28677368, 160.8241577, 110.6608505]",101,"[34.88457489, 106.9163132, 117.4956055]",1
11,"[60.28677368, 160.8241577, 110.6608505]",102,"[35.51337051, 117.5408096, 121.3166046]",2
11,"[60.28677368, 160.8241577, 110.6608505]",104,"[40.50615692, 136.464386, 128.2812347]",1
11,"[60.28677368, 160.8241577, 110.6608505]",109,"[32.83508301, 101.4815216, 122.8433228]",2
11,"[60.28677368, 160.8241577, 110.6608505]",110,"[33.60301971, 113.0844498, 127.6641922]",4
11,"[60.28677368, 160.8241577, 110.6608505]",111,"[37.79614639, 122.8765488, 130.7914734]",3
11,"[60.28677368, 160.8241577, 110.6608505]",117,"[33.1611557, 96.23550415, 129.6477661]",3
11,"[60.28677368, 160.8241577, 110.6608505]",118,"[32.5107193, 107.2374268, 133.7828674]",2
11,"[60.28677368, 160.8241577, 110.6608505]",119,"[35.56945419, 117.6499405, 136.7276917]",4
11,"[60.28677368, 160.8241577, 110.6608505]",120,"[39.7204895, 128.117981, 141.1881561]",1
12,"[55.97764587, 158.2496948, 112.2365341]",11,"[60.28677368, 160.8241577, 110.6608505]",2
12,"[55.97764587, 158.2496948, 112.2365341]",13,"[51.21172333, 155.2554626, 116.4246902]",1
12,"[55.97764587, 158.2496948, 112.2365341]",14,"[48.48796844, 151.4735107, 121.1464615]",1
12,"[55.97764587, 158.2496948, 112.2365341]",16,"[64.83947754, 153.8170471, 109.4194031]",2
12,"[55.97764587, 158.2496948, 112.2365341]",17,"[58.68668747, 152.7620544, 110.3483887]",1
12,"[55.97764587, 158.2496948, 112.2365341]",18,"[53.5224762, 150.5645752, 113.4942017]",1
12,"[55.97764587, 158.2496948, 112.2365341]",22,"[75.83336639, 104.5458603, 79.74345398]",1
12,"[55.97764587, 158.2496948, 112.2365341]",55,"[66.18732452, 184.2788849, 136.6307373]",1
12,"[55.97764587, 158.2496948, 112.2365341]",56,"[61.64362335, 180.326355, 143.5522919]",1
12,"[55.97764587, 158.2496948, 112.2365341]",57,"[59.63084793, 175.063736, 149.9863586]",2
12,"[55.97764587, 158.2496948, 112.2365341]",58,"[59.44711685, 171.0057678, 156.4195709]",3
12,"[55.97764587, 158.2496948, 112.2365341]",59,"[61.01449585, 164.7238617, 161.7114258]",2
12,"[55.97764587, 158.2496948, 112.2365341]",61,"[55.12334442, 175.8678894, 138.8725739]",1
12,"[55.97764587, 158.2496948, 112.2365341]",62,"[52.44224548, 170.8167877, 146.372757]",2
12,"[55.97764587, 158.2496948, 112.2365341]",63,"[51.2840004, 165.7919006, 152.2144318]",2
12,"[55.97764587, 158.2496948, 112.2365341]",64,"[53.52826309, 158.8329773, 158.2172852]",1
12,"[55.97764587, 158.2496948, 112.2365341]",69,"[37.74136353, 88.42960358, 152.3104248]",1
12,"[55.97764587, 158.2496948, 112.2365341]",70,"[38.61865616, 99.38539124, 155.8343048]",1
12,"[55.97764587, 158.2496948, 112.2365341]",72,"[44.20722198, 119.0409088, 160.3303223]",1
12,"[55.97764587, 158.2496948, 112.2365341]",77,"[40.96482849, 84.51644135, 159.3578491]",2
12,"[55.97764587, 158.2496948, 112.2365341]",78,"[43.03504944, 94.88861084, 162.0728912]",2
12,"[55.97764587, 158.2496948, 112.2365341]",79,"[46.01379776, 104.5724182, 166.0837097]",1
12,"[55.97764587, 158.2496948, 112.2365341]",80,"[47.95235062, 114.578186, 168.8221741]",1
12,"[55.97764587, 158.2496948, 112.2365341]",81,"[58.59506226, 43.15229034, 152.1497955]",3
12,"[55.97764587, 158.2496948, 112.2365341]",85,"[46.25086975, 81.35145569, 166.1690979]",1
12,"[55.97764587, 158.2496948, 112.2365341]",87,"[49.53035736, 99.92474365, 171.1462555]",1
12,"[55.97764587, 158.2496948, 112.2365341]",95,"[56.42819214, 97.26829529, 177.4585419]",1
12,"[55.97764587, 158.2496948, 112.2365341]",96,"[61.06736755, 107.1714401, 179.7997131]",1
12,"[55.97764587, 158.2496948, 112.2365341]",101,"[34.88457489, 106.9163132, 117.4956055]",1
12,"[55.97764587, 158.2496948, 112.2365341]",102,"[35.51337051, 117.5408096, 121.3166046]",2
12,"[55.97764587, 158.2496948, 112.2365341]",104,"[40.50615692, 136.464386, 128.2812347]",1
12,"[55.97764587, 158.2496948, 112.2365341]",109,"[32.83508301, 101.4815216, 122.8433228]",1
12,"[55.97764587, 158.2496948, 112.2365341]",110,"[33.60301971, 113.0844498, 127.6641922]",1
12,"[55.97764587, 158.2496948, 112.2365341]",111,"[37.79614639, 122.8765488, 130.7914734]",1
12,"[55.97764587, 158.2496948, 112.2365341]",117,"[33.1611557, 96.23550415, 129.6477661]",1
12,"[55.97764587, 158.2496948, 112.2365341]",118,"[32.5107193, 107.2374268, 133.7828674]",2
12,"[55.97764587, 158.2496948, 112.2365341]",119,"[35.56945419, 117.6499405, 136.7276917]",1
12,"[55.97764587, 158.2496948, 112.2365341]",120,"[39.7204895, 128.117981, 141.1881561]",1
13,"[51.21172333, 155.2554626, 116.4246902]",11,"[60.28677368, 160.8241577, 110.6608505]",3
13,"[51.21172333, 155.2554626, 116.4246902]",12,"[55.97764587, 158.2496948, 112.2365341]",1
13,"[51.21172333, 155.2554626, 116.4246902]",14,"[48.48796844, 151.4735107, 121.1464615]",3
13,"[51.21172333, 155.2554626, 116.4246902]",15,"[44.11364746, 149.526535, 128.9738159]",4
13,"[51.21172333, 155.2554626, 116.4246902]",16,"[64.83947754, 153.8170471, 109.4194031]",5
13,"[51.21172333, 155.2554626, 116.4246902]",17,"[58.68668747, 152.7620544, 110.3483887]",2
13,"[51.21172333, 155.2554626, 116.4246902]",18,"[53.5224762, 150.5645752, 113.4942017]",13
13,"[51.21172333, 155.2554626, 116.4246902]",19,"[49.99071884, 146.2094421, 119.2557526]",14
13,"[51.21172333, 155.2554626, 116.4246902]",20,"[46.10832214, 142.8703003, 125.5641327]",2
13,"[51.21172333, 155.2554626, 116.4246902]",31,"[42.35289764, 114.7987442, 84.63811493]",1
13,"[51.21172333, 155.2554626, 116.4246902]",39,"[59.72214127, 62.80955505, 65.33495331]",3
13,"[51.21172333, 155.2554626, 116.4246902]",41,"[49.3511467, 70.0541687, 80.31544495]",1
13,"[51.21172333, 155.2554626, 116.4246902]",45,"[120.5362473, 44.73541641, 83.17926025]",1
13,"[51.21172333, 155.2554626, 116.4246902]",55,"[66.18732452, 184.2788849, 136.6307373]",6
13,"[51.21172333, 155.2554626, 116.4246902]",56,"[61.64362335, 180.326355, 143.5522919]",3
13,"[51.21172333, 155.2554626, 116.4246902]",57,"[59.63084793, 175.063736, 149.9863586]",7
13,"[51.21172333, 155.2554626, 116.4246902]",58,"[59.44711685, 171.0057678, 156.4195709]",15
13,"[51.21172333, 155.2554626, 116.4246902]",59,"[61.01449585, 164.7238617, 161.7114258]",14
13,"[51.21172333, 155.2554626, 116.4246902]",60,"[58.11058807, 179.6183167, 132.4685059]",7
13,"[51.21172333, 155.2554626, 116.4246902]",61,"[55.12334442, 175.8678894, 138.8725739]",6
13,"[51.21172333, 155.2554626, 116.4246902]",62,"[52.44224548, 170.8167877, 146.372757]",16
13,"[51.21172333, 155.2554626, 116.4246902]",63,"[51.2840004, 165.7919006, 152.2144318]",12
13,"[51.21172333, 155.2554626, 116.4246902]",64,"[53.52826309, 158.8329773, 158.2172852]",10
13,"[51.21172333, 155.2554626, 116.4246902]",69,"[37.74136353, 88.42960358, 152.3104248]",5
13,"[51.21172333, 155.2554626, 116.4246902]",70,"[38.61865616, 99.38539124, 155.8343048]",13
13,"[51.21172333, 155.2554626, 116.4246902]",71,"[42.56768036, 109.0180054, 158.2352905]",11
13,"[51.21172333, 155.2554626, 116.4246902]",72,"[44.20722198, 119.0409088, 160.3303223]",9
13,"[51.21172333, 155.2554626, 116.4246902]",74,"[47.07555389, 53.91043854, 149.5325928]",5
13,"[51.21172333, 155.2554626, 116.4246902]",75,"[41.41545105, 63.59588242, 153.7163696]",2
13,"[51.21172333, 155.2554626, 116.4246902]",76,"[38.3068924, 73.96008301, 156.2806091]",2
13,"[51.21172333, 155.2554626, 116.4246902]",77,"[40.96482849, 84.51644135, 159.3578491]",14
13,"[51.21172333, 155.2554626, 116.4246902]",78,"[43.03504944, 94.88861084, 162.0728912]",9
13,"[51.21172333, 155.2554626, 116.4246902]",79,"[46.01379776, 104.5724182, 166.0837097]",9
13,"[51.21172333, 155.2554626, 116.4246902]",80,"[47.95235062, 114.578186, 168.8221741]",8
13,"[51.21172333, 155.2554626, 116.4246902]",81,"[58.59506226, 43.15229034, 152.1497955]",13
13,"[51.21172333, 155.2554626, 116.4246902]",83,"[46.60237122, 60.04891205, 160.5887146]",3
13,"[51.21172333, 155.2554626, 116.4246902]",84,"[45.83430099, 71.89839172, 163.7348938]",2
13,"[51.21172333, 155.2554626, 116.4246902]",85,"[46.25086975, 81.35145569, 166.1690979]",9
13,"[51.21172333, 155.2554626, 116.4246902]",86,"[47.44469452, 90.94404602, 168.2020874]",1
13,"[51.21172333, 155.2554626, 116.4246902]",87,"[49.53035736, 99.92474365, 171.1462555]",10
13,"[51.21172333, 155.2554626, 116.4246902]",88,"[54.26541901, 110.3771667, 173.8651886]",12
13,"[51.21172333, 155.2554626, 116.4246902]",89,"[63.97809601, 42.09529877, 158.5378723]",5
13,"[51.21172333, 155.2554626, 116.4246902]",90,"[57.71652222, 49.43274689, 163.1681366]",2
13,"[51.21172333, 155.2554626, 116.4246902]",91,"[53.56635666, 57.96323395, 167.4579163]",1
13,"[51.21172333, 155.2554626, 116.4246902]",92,"[51.61279297, 68.16239166, 169.7157898]",2
13,"[51.21172333, 155.2554626, 116.4246902]",93,"[53.16075134, 77.81087494, 171.5006256]",3
13,"[51.21172333, 155.2554626, 116.4246902]",94,"[54.0082016, 87.26881409, 174.2900696]",1
