start,startPosition,end,endPosition,frequency
11,"[60.28677368, 160.8241577, 110.6608505]",39,"[59.72214127, 62.80955505, 65.33495331]",1
11,"[60.28677368, 160.8241577, 110.6608505]",51,"[61.27109528, 37.51719284, 105.8707733]",1
11,"[60.28677368, 160.8241577, 110.6608505]",59,"[61.01449585, 164.7238617, 161.7114258]",1
11,"[60.28677368, 160.8241577, 110.6608505]",60,"[58.11058807, 179.6183167, 132.4685059]",1
11,"[60.28677368, 160.8241577, 110.6608505]",62,"[52.44224548, 170.8167877, 146.372757]",1
11,"[60.28677368, 160.8241577, 110.6608505]",72,"[44.20722198, 119.0409088, 160.3303223]",1
11,"[60.28677368, 160.8241577, 110.6608505]",82,"[51.80251312, 50.55010223, 156.5683746]",1
11,"[60.28677368, 160.8241577, 110.6608505]",85,"[46.25086975, 81.35145569, 166.1690979]",1
11,"[60.28677368, 160.8241577, 110.6608505]",92,"[51.61279297, 68.16239166, 169.7157898]",1
11,"[60.28677368, 160.8241577, 110.6608505]",95,"[56.42819214, 97.26829529, 177.4585419]",1
13,"[51.21172333, 155.2554626, 116.4246902]",18,"[53.5224762, 150.5645752, 113.4942017]",3
13,"[51.21172333, 155.2554626, 116.4246902]",19,"[49.99071884, 146.2094421, 119.2557526]",1
13,"[51.21172333, 155.2554626, 116.4246902]",20,"[46.10832214, 142.8703003, 125.5641327]",1
13,"[51.21172333, 155.2554626, 116.4246902]",30,"[47.07077408, 112.9485016, 79.29278564]",1
13,"[51.21172333, 155.2554626, 116.4246902]",55,"[66.18732452, 184.2788849, 136.6307373]",1
13,"[51.21172333, 155.2554626, 116.4246902]",57,"[59.63084793, 175.063736, 149.9863586]",2
13,"[51.21172333, 155.2554626, 116.4246902]",58,"[59.44711685, 171.0057678, 156.4195709]",6
13,"[51.21172333, 155.2554626, 116.4246902]",59,"[61.01449585, 164.7238617, 161.7114258]",5
13,"[51.21172333, 155.2554626, 116.4246902]",60,"[58.11058807, 179.6183167, 132.4685059]",4
13,"[51.21172333, 155.2554626, 116.4246902]",62,"[52.44224548, 170.8167877, 146.372757]",1
13,"[51.21172333, 155.2554626, 116.4246902]",63,"[51.2840004, 165.7919006, 152.2144318]",3
13,"[51.21172333, 155.2554626, 116.4246902]",64,"[53.52826309, 158.8329773, 158.2172852]",1
13,"[51.21172333, 155.2554626, 116.4246902]",69,"[37.74136353, 88.42960358, 152.3104248]",1
13,"[51.21172333, 155.2554626, 116.4246902]",70,"[38.61865616, 99.38539124, 155.8343048]",3
13,"[51.21172333, 155.2554626, 116.4246902]",71,"[42.56768036, 109.0180054, 158.2352905]",2
13,"[51.21172333, 155.2554626, 116.4246902]",72,"[44.20722198, 119.0409088, 160.3303223]",3
13,"[51.21172333, 155.2554626, 116.4246902]",76,"[38.3068924, 73.96008301, 156.2806091]",1
13,"[51.21172333, 155.2554626, 116.4246902]",77,"[40.96482849, 84.51644135, 159.3578491]",3
13,"[51.21172333, 155.2554626, 116.4246902]",78,"[43.03504944, 94.88861084, 162.0728912]",2
13,"[51.21172333, 155.2554626, 116.4246902]",79,"[46.01379776, 104.5724182, 166.0837097]",2
13,"[51.21172333, 155.2554626, 116.4246902]",80,"[47.95235062, 114.578186, 168.8221741]",1
13,"[51.21172333, 155.2554626, 116.4246902]",81,"[58.59506226, 43.15229034, 152.1497955]",4
13,"[51.21172333, 155.2554626, 116.4246902]",83,"[46.60237122, 60.04891205, 160.5887146]",3
13,"[51.21172333, 155.2554626, 116.4246902]",84,"[45.83430099, 71.89839172, 163.7348938]",1
13,"[51.21172333, 155.2554626, 116.4246902]",85,"[46.25086975, 81.35145569, 166.1690979]",1
13,"[51.21172333, 155.2554626, 116.4246902]",89,"[63.97809601, 42.09529877, 158.5378723]",2
13,"[51.21172333, 155.2554626, 116.4246902]",91,"[53.56635666, 57.96323395, 167.4579163]",2
13,"[51.21172333, 155.2554626, 116.4246902]",92,"[51.61279297, 68.16239166, 169.7157898]",3
13,"[51.21172333, 155.2554626, 116.4246902]",96,"[61.06736755, 107.1714401, 179.7997131]",1
13,"[51.21172333, 155.2554626, 116.4246902]",104,"[40.50615692, 136.464386, 128.2812347]",1
13,"[51.21172333, 155.2554626, 116.4246902]",111,"[37.79614639, 122.8765488, 130.7914734]",1
13,"[51.21172333, 155.2554626, 116.4246902]",116,"[33.36973572, 85.51229858, 126.1075974]",1
13,"[51.21172333, 155.2554626, 116.4246902]",118,"[32.5107193, 107.2374268, 133.7828674]",1
14,"[48.48796844, 151.4735107, 121.1464615]",18,"[53.5224762, 150.5645752, 113.4942017]",2
14,"[48.48796844, 151.4735107, 121.1464615]",19,"[49.99071884, 146.2094421, 119.2557526]",2
14,"[48.48796844, 151.4735107, 121.1464615]",55,"[66.18732452, 184.2788849, 136.6307373]",1
14,"[48.48796844, 151.4735107, 121.1464615]",56,"[61.64362335, 180.326355, 143.5522919]",1
14,"[48.48796844, 151.4735107, 121.1464615]",57,"[59.63084793, 175.063736, 149.9863586]",1
14,"[48.48796844, 151.4735107, 121.1464615]",58,"[59.44711685, 171.0057678, 156.4195709]",3
14,"[48.48796844, 151.4735107, 121.1464615]",59,"[61.01449585, 164.7238617, 161.7114258]",4
14,"[48.48796844, 151.4735107, 121.1464615]",60,"[58.11058807, 179.6183167, 132.4685059]",2
14,"[48.48796844, 151.4735107, 121.1464615]",61,"[55.12334442, 175.8678894, 138.8725739]",2
14,"[48.48796844, 151.4735107, 121.1464615]",62,"[52.44224548, 170.8167877, 146.372757]",5
