start,startPosition,end,endPosition,frequency
19,"[134.525161743164, 137.630401611328, 79.4138793945313]",61,"[152.337371826172, 136.531280517578, 148.623443603516]",15
19,"[134.525161743164, 137.630401611328, 79.4138793945313]",62,"[153.248168945313, 128.083526611328, 150.412384033203]",17
19,"[134.525161743164, 137.630401611328, 79.4138793945313]",63,"[156.858428955078, 120.272644042969, 153.920471191406]",16
19,"[134.525161743164, 137.630401611328, 79.4138793945313]",64,"[159.923980712891, 106.975082397461, 154.952331542969]",8
19,"[134.525161743164, 137.630401611328, 79.4138793945313]",67,"[144.785705566406, 151.356658935547, 150.416473388672]",1
19,"[134.525161743164, 137.630401611328, 79.4138793945313]",69,"[148.403366088867, 133.275024414063, 154.729370117188]",1
19,"[134.525161743164, 137.630401611328, 79.4138793945313]",70,"[151.385025024414, 123.832473754883, 157.891616821289]",17
19,"[134.525161743164, 137.630401611328, 79.4138793945313]",72,"[158.27294921875, 102.543960571289, 160.457229614258]",16
19,"[134.525161743164, 137.630401611328, 79.4138793945313]",74,"[137.393859863281, 159.848663330078, 153.828704833984]",2
19,"[134.525161743164, 137.630401611328, 79.4138793945313]",75,"[139.177734375, 150.923767089844, 155.853851318359]",2
19,"[134.525161743164, 137.630401611328, 79.4138793945313]",77,"[143.384338378906, 133.111267089844, 160.524078369141]",9
19,"[134.525161743164, 137.630401611328, 79.4138793945313]",78,"[147.340835571289, 121.565628051758, 163.375396728516]",14
19,"[134.525161743164, 137.630401611328, 79.4138793945313]",79,"[152.297546386719, 110.439277648926, 165.796768188477]",14
19,"[134.525161743164, 137.630401611328, 79.4138793945313]",80,"[154.009948730469, 99.6354827880859, 164.822769165039]",10
19,"[134.525161743164, 137.630401611328, 79.4138793945313]",81,"[127.291488647461, 165.8056640625, 155.817199707031]",12
19,"[134.525161743164, 137.630401611328, 79.4138793945313]",82,"[131.881317138672, 157.160125732422, 159.293716430664]",4
19,"[134.525161743164, 137.630401611328, 79.4138793945313]",83,"[136.253372192383, 147.93034362793, 162.544525146484]",4
19,"[134.525161743164, 137.630401611328, 79.4138793945313]",84,"[137.512908935547, 138.574401855469, 164.48161315918]",1
19,"[134.525161743164, 137.630401611328, 79.4138793945313]",85,"[140.277969360352, 127.609336853027, 166.846221923828]",9
19,"[134.525161743164, 137.630401611328, 79.4138793945313]",86,"[142.474761962891, 114.694999694824, 168.628967285156]",4
19,"[134.525161743164, 137.630401611328, 79.4138793945313]",87,"[143.150955200195, 102.914924621582, 168.487869262695]",11
19,"[134.525161743164, 137.630401611328, 79.4138793945313]",88,"[146.296234130859, 94.5201263427734, 169.774810791016]",8
19,"[134.525161743164, 137.630401611328, 79.4138793945313]",89,"[123.24536895752, 163.177642822266, 160.847427368164]",9
19,"[134.525161743164, 137.630401611328, 79.4138793945313]",90,"[126.428924560547, 153.634704589844, 163.887054443359]",1
