,electrode_number,E_EEG,E_Brain,position,position_marker,x,y,z
0,11,E11,PS1,"[138.115783691406,166.815368652344,110.192565917969]",Y,138.115783691406,166.815368652344,110.192565917969
1,12,E12,PS2,"[142.168121337891,181.290649414063,112.606002807617]",Y,142.168121337891,181.290649414063,112.606002807617
2,13,E13,PS3,"[141.510070800781,183.282073974609,121.512069702148]",Y,141.510070800781,183.282073974609,121.512069702148
3,19,E19,AT1,"[134.525161743164,137.630401611328,79.4138793945313]",Y,134.525161743164,137.630401611328,79.4138793945313
4,20,E20,AT2,"[139.903259277344,145.456604003906,83.0818939208984]",Y,139.903259277344,145.456604003906,83.0818939208984
5,21,E21,AT3,"[143.370513916016,148.862396240234,92.4859619140625]",Y,143.370513916016,148.862396240234,92.4859619140625
6,22,E22,AT4,"[144.041473388672,150.005645751953,101.785850524902]",Y,144.041473388672,150.005645751953,101.785850524902
7,23,E23,AT5,"[149.880966186523,157.535461425781,109.604438781738]",Y,149.880966186523,157.535461425781,109.604438781738
8,24,E24,AT6,"[154.647979736328,163.507415771484,117.436767578125]",Y,154.647979736328,163.507415771484,117.436767578125
9,25,E25,PT1,"[154.758636474609,110.263961791992,85.9389953613281]",Y,154.758636474609,110.263961791992,85.9389953613281
10,26,E26,PT2,"[158.453872680664,115.566200256348,92.2268295288086]",Y,158.453872680664,115.566200256348,92.2268295288086
11,27,E27,PT3,"[160.516601562500,119.605796813965,100.308891296387]",Y,160.5166015625,119.605796813965,100.308891296387
12,28,E28,PT4,"[161.812072753906,123.173187255859,108.824371337891]",Y,161.812072753906,123.173187255859,108.824371337891
13,29,E29,PT5,"[162.116790771484,126.284957885742,115.731018066406]",Y,162.116790771484,126.284957885742,115.731018066406
14,30,E30,PT6,"[160.288848876953,129.866394042969,123.635498046875]",Y,160.288848876953,129.866394042969,123.635498046875
15,31,E31,PT7,"[159.121353149414,133.200607299805,132.419250488281]",Y,159.121353149414,133.200607299805,132.419250488281
16,33,E33,LO1,"[144.945297241211,46.3485412597656,112.528327941895]",Y,144.945297241211,46.3485412597656,112.528327941895
17,34,E34,LO2,"[146.870986938477,49.8311538696289,121.126220703125]",Y,146.870986938477,49.8311538696289,121.126220703125
18,35,E35,LO3,"[145.079147338867,54.2477951049805,127.038940429688]",Y,145.079147338867,54.2477951049805,127.038940429688
19,36,E36,LO4,"[144.717269897461,58.3753814697266,135.036666870117]",Y,144.717269897461,58.3753814697266,135.036666870117
20,37,E37,LO5,"[146.930099487305,62.2486381530762,141.753280639648]",Y,146.930099487305,62.2486381530762,141.753280639648
21,38,E38,LO6,"[148.839645385742,65.7437362670898,149.452529907227]",Y,148.839645385742,65.7437362670898,149.452529907227
